BlockNumber, Date, Value, Note
0, 2019-11-15T21:09:50.812Z, 1.00082, Genesis
413943, 2020-01-01T00:00:36.936Z, 1.00553737, 
1311192, 2020-04-01T12:00:02.732Z, 1.01529582, 
2225181, 2020-07-02T00:00:01.791Z, 1.02475181, 
2887376, 2020-10-01T12:00:03.001Z, 1.03388539, 
3583555, 2021-01-01T00:00:01.008Z, 1.04279524, 
4048565, 2021-04-02T06:00:46.073Z, 1.05146502, 
4697782, 2021-07-02T12:00:00.086Z, 1.05990675, 
5503834, 2021-10-01T18:00:03.408Z, 1.06816083, 
6194506, 2022-01-01T00:00:01.554Z, 1.07621462, 
6822996, 2022-04-02T06:00:46.874Z, 1.08407983, 
7548564, 2022-07-02T12:00:01.029Z, 1.09176325, 
8188955, 2022-10-01T18:00:08.715Z, 1.09928404, 
8877418, 2023-01-01T00:00:00.729Z, 1.10664516, 
9562759, 2023-04-02T06:00:11.059Z, 1.11387639, 
10360745, 2023-07-02T12:00:27.581Z, 1.12095011, 
11084807, 2023-10-01T18:00:58.702Z, 1.12788772, 
11850353, 2024-01-01T00:00:04.666Z, 1.13469412, 
12600876, 2024-04-01T12:00:04.633Z, 1.1414592, 
13377494, 2024-07-02T00:00:18.459Z, 1.14815852, 
14010067, 2024-09-12T15:13:19.574Z, 1.15343076, iCKB Launch
14160825, 2024-10-01T12:00:24.531Z, 1.15479538, 
15001370, 2025-01-01T00:00:12.070Z, 1.1613766, 
15799566, 2025-04-02T06:00:09.602Z, 1.16787482, 
16605969, 2025-07-02T12:00:00.609Z, 1.17431822, 
17426528, 2025-10-01T18:00:20.609Z, 1.18071088, 
